Method,Accuracy,F1-Macro,F1-Weighted,ROC-AUC,Training Time (s)
baseline,0.7374093264248704,0.3092881394416188,0.6460373787993239,0.6566461925727503,1.620093584060669
smote,0.7050777202072539,0.3699810121922431,0.6709750578031237,0.6453599836993181,5.923620939254761
adasyn,0.7065284974093264,0.3741356881714292,0.6721857646107473,0.6449118566143601,5.0234534740448
borderline,0.7061139896373057,0.36744508449567964,0.6718615849910398,0.6464091338371559,6.181685447692871
smoteenn,0.49088082901554403,0.3344667652384547,0.5097565132669739,0.6508685527936906,11.650704622268677
