Method,Accuracy,F1-Macro,F1-Weighted,ROC-AUC,Training Time (s),f1_class_0,f1_class_1,f1_class_2
No Resampling (Baseline),0.7374093264248704,0.3092881394416188,0.6460373787993239,0.6566461925727503,1.764270544052124,0.8477117465691313,0.08015267175572519,0.0
SMOTE,0.7050777202072539,0.3699810121922431,0.6709750578031237,0.6453599631465725,5.1464457511901855,0.8183588678265385,0.26763207294180746,0.023952095808383235
ADASYN,0.7065284974093264,0.3741356881714292,0.6721857646107473,0.6449118566143601,5.3255743980407715,0.819827418413028,0.267491926803014,0.03508771929824561
Borderline-SMOTE,0.7061139896373057,0.36744508449567964,0.6718615849910398,0.6464091132844104,5.053175687789917,0.8188782134510517,0.2702991452991453,0.013157894736842105
SMOTE-ENN,0.49088082901554403,0.3344667652384547,0.5097565132669739,0.6508685527936906,10.812777519226074,0.5438210838191723,0.43618739903069464,0.023391812865497075
